Former Sudan,,,,,,,,,,,,1363.0,1556.0,1632.0,1505.0,1471.0,1400.0,1664.0,1484.0,1404.0,1282.0,1336.0544,1551.8574,1951.4658,2461.3003,3478.8877,2982.5593,3139.7502,2586.8955
France,4280.0,4584.0,4538.0,4854.0,5601.0,5144.0,6661.0,7063.0,6311.0,6765.0,7002.0,8869.0,10278.0,11792.0,14057.0,16365.0,19549.0,21465.0,23537.0,24519.0,26763.0,28619.805,29736.645,33409.68,35093.824,36761.793,36625.926,37343.84,35913.82
Gabon,,,,,,,,,,,,3143.0,3539.0,3982.0,4616.0,4927.0,6559.0,12747.0,8402.0,8612.0,6982.0,8194.499,10389.21,10637.8,12022.507,13330.255,16682.309,16995.238,15745.749
Gambia,,,,,,,,,,,,1022.0,1086.0,1167.0,1274.0,1519.0,1334.0,1436.0,1325.0,1462.0,1417.0,1391.4054,1336.8473,1440.8619,1585.7992,1618.4445,1725.0,1770.3645,1914.1969
Georgia,,,,,,,,,,,,,,,,,,,10519.0,13128.0,14665.0,5286.925,4030.8848,4891.664,6342.708,8461.917,9497.121,10945.466,11770.782
Germany,4368.0,4758.0,4914.0,5187.0,5617.0,4457.0,5099.0,6519.0,5359.0,7095.0,4517.0,7257.0,9846.0,12282.0,14062.0,15723.0,18301.0,20218.0,22497.0,23564.0,25759.0,27385.055,29349.982,33367.285,35528.715,40715.434,43288.32,45030.47,44996.43
Ghana,1112.3208,1126.6631,1255.7433,1231.8396,,1298.77,1708.3208,1572.8663,1752.9412,2033.4117,1845.369,1728.0,1970.0,2197.0,2254.0,2101.0,2235.0,1878.0,1844.0,1530.0,1648.0,1771.6003,1907.9348,2100.293,2329.5156,2725.7883,3467.1042,3640.779,4069.252
Greece,2359.0,1972.0,2498.0,2550.0,3135.0,2284.0,3279.0,3561.0,3649.0,3913.0,2866.0,3272.0,4313.0,5015.0,6601.0,8394.0,11795.0,12919.0,14300.0,14453.0,15596.0,16545.963,17719.557,20965.332,25780.385,28907.926,22746.207,22679.81,21767.22
Guatemala,,,,,,2028.0,2397.0,2482.0,2200.0,3674.0,3169.0,3226.0,3347.0,3496.0,3814.0,4385.0,5037.0,5705.0,6384.0,5469.0,5086.0,5303.5986,5511.905,5860.272,6070.1943,6604.6826,6718.332,7186.66,7309.368
Guinea,,,,,,,,,,,,550.0,610.0,671.0,720.0,776.0,826.0,905.0,872.0,824.0,856.0,833.22675,927.12946,1046.567,1159.8251,1290.4037,1397.0,1472.953,1726.5083
Guinea-Bissau,,,,,,,,,,,,516.0,703.0,800.0,1027.0,1270.0,1412.0,1443.0,1207.0,1162.0,1235.0,1287.2765,1337.4675,1230.6406,1194.6708,1270.7228,1361.0,1443.4241,1531.3096
Haiti,,,,,,,,,,,1784.0,1860.0,1897.0,1809.0,1604.0,1510.0,1635.0,1835.0,2063.0,1803.0,1701.0,1535.9707,1426.4126,1520.7292,1439.2076,1555.4932,1674.0,1748.7269,1641.7617
Honduras,,,,,,1957.0,1753.0,2377.0,2109.0,1741.0,2045.0,2083.0,2080.0,2147.0,2209.0,2463.0,2448.0,2954.0,3282.0,2968.0,3009.0,3094.5479,3210.2703,3335.7153,3686.6667,4358.763,4518.0,4803.2803,4567.8857
Hong Kong,,,,,,,,,,,,3846.0,4450.0,5088.0,6664.0,7696.0,10632.0,12929.0,17086.0,21042.0,27063.0,30202.54,32261.803,32894.01,36052.992,42635.48,44795.11,48385.113,46550.258
Hungary,,2681.0,,,,2724.0,3048.0,3849.0,3494.0,4173.0,3507.0,4403.0,4632.0,5816.0,6994.0,7865.0,8505.0,9231.0,10052.0,10696.0,11207.0,9153.921,10359.182,13129.273,16999.006,20380.63,20731.67,23568.926,26091.4
Iceland,2291.2607,2289.4734,2460.797,2766.639,3067.8557,2450.5056,3028.7258,3706.4622,4068.9983,4312.975,9215.163,8823.0,10323.0,10959.0,13386.0,13648.0,17366.0,19877.0,24528.0,25357.0,28934.0,26859.281,28277.787,33108.29,36209.242,40810.23,36933.895,41682.867,39368.4
India,850.0,955.0,1050.0,987.0,1098.0,1012.0,1111.0,1125.0,1130.0,1111.0,983.0,1003.0,1117.0,1200.0,1309.0,1290.0,1329.0,1417.0,1495.0,1690.0,1938.0,2115.2573,2475.568,2753.0854,3212.511,4030.6543,4982.083,6326.0645,6730.547
Indonesia,1092.0,1151.0,1138.0,1160.0,1315.0,1409.0,1486.0,1685.0,1481.0,1543.0,,1401.0,1533.0,1613.0,1583.0,1580.0,2117.0,2536.0,2981.0,3134.0,3500.0,4536.4097,5851.2954,5384.3867,6180.91,7633.166,9272.009,10849.67,11895.075
Iran,,,,,,,,,,,,2597.0,2541.0,3437.0,4026.0,5659.0,8247.0,10665.0,6334.0,6951.0,5249.0,7036.315,7746.409,9104.763,12404.323,15739.983,17556.533,17738.059,17296.264
Iraq,,,,,,,,,,,,2482.0,3808.0,4360.0,4965.0,5745.0,5297.0,8007.0,10165.0,6593.0,4635.0,2046.1809,2337.5227,3649.493,6061.5547,8587.265,12521.541,14173.763,11717.375
Ireland,,,,,,,4095.0,4363.0,4599.0,4865.0,5149.0,5805.0,6212.0,6825.0,7948.0,9197.0,10621.0,11639.0,13614.0,14435.0,16313.0,20032.719,26562.908,38806.5,47028.863,49583.14,47360.09,53686.844,55134.855
Israel,,,,,,,,,,,,4828.0,6153.0,7433.0,9430.0,11210.0,15108.0,16053.0,17508.0,18305.0,20256.0,21531.596,23979.996,26058.84,25210.879,27857.62,29580.836,31822.875,32730.943
Italy,3153.0,3264.0,3461.0,3795.0,3875.0,3789.0,4324.0,4693.0,4602.0,4471.0,4814.0,6371.0,7745.0,9430.0,11934.0,14513.0,16035.0,18147.0,20959.0,21868.0,24743.0,26960.611,29231.275,32716.98,34472.13,35942.938,34010.035,34120.42,32385.326
Jamaica,,926.0,,,,,,,,,,2397.0,3491.0,4230.0,4629.0,5235.0,6150.0,5681.0,4975.0,5059.0,5397.0,6292.029,6648.933,6531.2847,7004.9844,7353.107,7119.5054,7381.3325,6880.4883
